  CveAct;Catalogo  ;No Inv ;Año ;Descripción                                   ;    CveAds; NumSerie    ; CveBaja
  11213; I180000072;01438;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25424.;   I-1101603;311MX25424  ;    0  ;
  11214; I180000072;01439;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25446.;   I-1101603;311MX25446  ;    0  ;
  11215; I180000072;01440;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25767.;   I-1101603;311MX25767  ;    0  ;
  12381; I180000072;01441;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25874.;   I-1101703;311MX25874  ;    0  ;
  12382; I180000072;01442;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25879.;   I-1101703;311MX25879  ;    0  ;
  12383; I180000072;01443;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25883.;   I-1101703;311MX25883  ;    0  ;
  12384; I180000072;01444;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25423.;   I-1101703;311MX25423  ;    0  ;
  12385; I180000072;01445;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25428.;   I-1101703;311MX25428  ;    0  ;
  12386; I180000072;01446;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25420.;   I-1101703;311MX25420  ;    0  ;
  12387; I180000072;01447;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25431.;   I-1101703;311MX25431  ;    0  ;
  12388; I180000072;01448;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25433.;   I-1101703;311MX25433  ;    0  ;
  12389; I180000072;01449;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25466.;   I-1101703;311MX25466  ;    0  ;
  12390; I180000072;01450;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25472.;   I-1101703;311MX25472  ;    0  ;
  12431; I180000072;01451;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25869.;   I-1102103;311MX25869  ;    0  ;
  12432; I180000072;01452;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25878.;   I-1102103;311MX25878  ;    0  ;
  12433; I180000072;01453;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25882.;   I-1102103;311MX25882  ;    0  ;
  12434; I180000072;01454;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25785.;   I-1102103;311MX25785  ;    0  ;
  12435; I180000072;01455;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX06835;   I-1102103;311MX06835  ;    0  ;
  12436; I180000072;01456;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE:311MX06839.;   I-1102103;311MX06839  ;    0  ;
  12437; I180000072;01457;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25633.;   I-1102103;311MX25633  ;    0  ;
  12438; I180000072;01458;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25665.;   I-1102103;311MX25665  ;    0  ;
  12439; I180000072;01459;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25864.;   I-1102103;311MX25864  ;    0  ;
  12440; I180000072;01460;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25445.;   I-1102103;311MX25445  ;    0  ;
  12481; I180000072;01461;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25858.;   I-1102203;311MX25858  ;    0  ;
  12482; I180000072;01462;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25783.;   I-1102203;311MX25783  ;    0  ;
  12483; I180000072;01463;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX06806.;   I-1102203;311MX06806  ;    0  ;
  12484; I180000072;01464;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25784.;   I-1102203;311MX25784  ;    0  ;
  12485; I180000072;01465;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25769.;   I-1102203;311MX25769  ;    0  ;
  12486; I180000072;01466;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25786.;   I-1102203;311MX25786  ;    0  ;
  12487; I180000072;01467;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25770.;   I-1102203;311MX25770  ;    0  ;
  12488; I180000072;01468;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25768.;   I-1102203;311MX25768  ;    0  ;
  12489; I180000072;01469;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25873.;   I-1102203;311MX25873  ;    0  ;
  12490; I180000072;01470;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25870.;   I-1102203;311MX25870  ;    0  ;
  12531; I180000072;01471;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25406.;   I-1100201;311MX25406  ;    0  ;
  12532; I180000072;01472;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25915.;   I-1100201;311MX25915  ;    0  ;
  12533; I180000072;01473;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25450.;   I-1100201;311MX25450  ;    0  ;
  12534; I180000072;01474;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25415.;   I-1100201;311MX25415  ;    0  ;
  12535; I180000072;01475;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25427.;   I-1100201;311MX25427  ;    0  ;
  12536; I180000072;01476;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25410.;   I-1100201;311MX25410  ;    0  ;
  12537; I180000072;01477;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25435.;   I-1100201;311MX25435  ;    0  ;
  12538; I180000072;01478;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25419.;   I-1100201;311MX25419  ;    0  ;
  12539; I180000072;01479;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 309MX06552.;   I-1100201;309MX06552  ;    0  ;
  12540; I180000072;01480;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25441.;   I-1100201;311MX25441  ;    0  ;
  12580; I180000072;01481;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25430.;   11706 ;311MX25430  ;    0  ;
  12581; I180000072;01482;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25411.;   11707 ;311MX25411  ;    0  ;
  12582; I180000072;01483;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25413.;   11708 ;311MX25413  ;    0  ;
  12583; I180000072;01484;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25403.;   11709 ;311MX25403  ;    0  ;
  12584; I180000072;01485;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25416. ACUERSO 14079;   Z11990;311MX25416  ;    0  ;
  12585; I180000072;01486;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25414.;   11711 ;311MX25414  ;    0  ;
  12586; I180000072;01487;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25436.;   11711 ;311MX25436  ;    0  ;
  12587; I180000072;01488;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25440.;   11712 ;311MX25440  ;    0  ;
  12588; I180000072;01489;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25418.;   11713 ;311MX25418  ;    0  ;
  12589; I180000072;01490;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25421.;   11713 ;311MX25421  ;    0  ;
  12631; I180000072;01491;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25901.;   11710 ;311MX25901  ;    0  ;
  12632; I180000072;01492;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25890.;   11710 ;311MX25890  ;    0  ;
  12633; I180000072;01493;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25903.;   11701 ;311MX25903  ;    0  ;
  12634; I180000072;01494;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25902.;   11702 ;311MX25902  ;    0  ;
  12635; I180000072;01495;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25905.;   11702 ;311MX25905  ;    0  ;
  12636; I180000072;01496;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25904.;   11703 ;311MX25904  ;    0  ;
  12637; I180000072;01497;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN70S, NUMERO DE SERIE: 311MX25909.;   11703 ;311MX25909  ;    0  ;
  12638; I180000072;01498;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25908.;   11704 ;311MX25908  ;    0  ;
  12639; I180000072;01499;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25913.;   11704 ;311MX25913  ;    0  ;
  12640; I180000072;01500;03 ;A COLOR DE 17" MARCA LANIX, MODELO LN700S, NUMERO DE SERIE: 311MX25407.;   11705 ;311MX25407  ;    0  ;
  8543; I180000072;02950;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430240.;   I-1100602;MCO24430240 ;    0  ;
  8544; I180000072;02951;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430239.;   I-1100602;MCO24430239 ;    0  ;
  8545; I180000072;02952;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430148.;   11713 ;MCO24430148 ;    0  ;
  8546; I180000072;02953;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230318.;   11713 ;MCO24230318 ;    0  ;
  8547; I180000072;02954;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430144.;   11713 ;MCO24430144 ;    0  ;
  8548; I180000072;02955;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230285.;   11922 ;MCO24230285 ;    0  ;
  8549; I180000072;02956;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430106.;   11710 ;MCO24430106 ;    0  ;
  8550; I180000072;02957;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430097.;   11710 ;MCO24430097 ;    0  ;
  8551; I180000072;02958;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430176.;   11710 ;MCO24430176 ;    0  ;
  8552; I180000072;02959;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430254.;   11710 ;MCO24430254 ;    0  ;
  8553; I180000072;02960;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530194.;   11922 ;MCO24530194 ;    0  ;
  8554; I180000072;02961;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530147.;   11711 ;MCO24530147 ;    0  ;
  8555; I180000072;02962;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530215.;   11922 ;MCO24530215 ;    0  ;
  8556; I180000072;02963;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530149.;   11922 ;MCO24530149 ;    0  ;
  8557; I180000072;02964;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430107.;   11922 ;MCO24430107 ;    0  ;
  8558; I180000072;02965;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430129.;   I-1100702;MCO24430129 ;    0  ;
  8559; I180000072;02966;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430257.;   11701 ;MCO24430257 ;    0  ;
  8560; I180000072;02967;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24430256.;   11701 ;MCO24430256 ;    0  ;
  8561; I180000072;02968;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530140.;   11701 ;MCO24530140 ;    0  ;
  8562; I180000072;02969;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530153.;   11701 ;MCO24530153 ;    0  ;
  8563; I180000072;02970;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO). NUMERO DE SERIE: MCO24530218.;   11702 ;MCO24530218 ;    0  ;
  8564; I180000072;02971;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530151.;   11702 ;MCO24530151 ;    0  ;
  8565; I180000072;02972;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530333.;   11702 ;MCO24530333 ;    0  ;
  8566; I180000072;02973;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530337.;   11702 ;MCO24530337 ;    0  ;
  8567; I180000072;02974;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530336.;   11702 ;MCO24530336 ;    0  ;
  8568; I180000072;02975;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530332.;   11922 ;MCO24530332 ;    0  ;
  8569; I180000072;02976;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530335.;   11700 ;MCO24530335 ;    0  ;
  8570; I180000072;02977;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530330.;   11700 ;MCO24530330 ;    0  ;
  8571; I180000072;02978;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530189.;   11700 ;MCO24530189 ;    0  ;
  8572; I180000072;02979;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530138.;   11700 ;MCO24530138 ;    0  ;
  8573; I180000072;02980;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530191.;   I-1102902;MCO24530191 ;    0  ;
  8574; I180000072;02981;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530136.;   11705 ;MCO24530136 ;    0  ;
  8575; I180000072;02982;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530331.;   11705 ;MCO24530331 ;    0  ;
  8576; I180000072;02983;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530334.;   11705 ;MCO24530334 ;    0  ;
  8577; I180000072;02984;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530190.;   11705 ;MCO24530190 ;    0  ;
  8578; I180000072;02985;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530133.;   11705 ;MCO24530133 ;    0  ;
  8579; I180000072;02986;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530195.;   11714 ;MCO24530195 ;    0  ;
  8580; I180000072;02987;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530137.;   I-1102902;MCO24530137 ;    0  ;
  8581; I180000072;02988;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230093.;   11714 ;MCO24230093 ;    0  ;
  8582; I180000072;02989;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230079.;   11714 ;MCO24230079 ;    0  ;
  8583; I180000072;02990;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230091.;   I-1100106;MCO24230091 ;    0  ;
  8584; I180000072;02991;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230116.;   I-1100106;MCO24230116 ;    0  ;
  8585; I180000072;02992;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230118.;   I-1100106;MCO24230118 ;    0  ;
  8586; I180000072;02993;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230040.;   I-1100106;MCO24230040 ;    0  ;
  8587; I180000072;02994;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230113.;   I-1100106;MCO24230113 ;    0  ;
  8588; I180000072;02995;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO21230070.;   I-1100106;MCO21230070 ;    0  ;
  8589; I180000072;02996;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230077.;   I-1100106;MCO24230077 ;    0  ;
  8590; I180000072;02997;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230087.;   I-1100106;MCO24230087 ;    0  ;
  8591; I180000072;02998;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230112.;   I-1100106;MCO24230112 ;    0  ;
  8592; I180000072;02999;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230090.;   I-1100106;MCO24230090 ;    0  ;
  8593; I180000072;03000;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230025.;   11922 ;MCO24230025 ;    0  ;
  8594; I180000072;03001;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230064.;   11922 ;MCO24230064 ;    0  ;
  8595; I180000072;03002;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230071.;   11922 ;MCO24230071 ;    0  ;
  8596; I180000072;03003;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230072.;   11922 ;MCO24230072 ;    0  ;
  8597; I180000072;03004;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530237.;   11922 ;MCO24530237 ;    0  ;
  8598; I180000072;03005;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530236.;   11922 ;MCO24530236 ;    0  ;
  8599; I180000072;03006;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530241.;   11922 ;MCO24530241 ;    0  ;
  8600; I180000072;03007;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530240.};   11922 ;MCO24530240 ;    0  ;
  8601; I180000072;03008;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530239.;   11922 ;MCO24530239 ;    0  ;
  8602; I180000072;03009;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530238.;   11922 ;MCO24530238 ;    0  ;
  8603; I180000072;03010;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530028.;   11712 ;MCO24530028 ;    0  ;
  8604; I180000072;03011;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530164.;   11712 ;MCO24530164 ;    0  ;
  8605; I180000072;03012;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530029.;   11712 ;MCO24530029 ;    0  ;
  8606; I180000072;03013;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530180.;   11712 ;MCO24530180 ;    0  ;
  8607; I180000072;03014;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530235.;   I-1103402;MCO24530235 ;    0  ;
  8608; I180000072;03015;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530233.;   11922 ;MCO24530233 ;    0  ;
  8609; I180000072;03016;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530033.;   11922 ;MCO24530033 ;    0  ;
  8610; I180000072;03017;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530227.;   11922 ;MCO24530227 ;    0  ;
  8611; I180000072;03018;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530035.;   11922 ;MCO24530035 ;    0  ;
  8612; I180000072;03019;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530228.;   11922 ;MCO24530228 ;    0  ;
  8613; I180000072;03020;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530263.;   11707 ;MCO24530263 ;    0  ;
  8614; I180000072;03021;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530266.;   11922 ;MCO24530266 ;    0  ;
  8615; I180000072;03022;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530234.;   11707 ;MCO24530234 ;    0  ;
  8616; I180000072;03023;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530262.;   11707 ;MCO24530262 ;    0  ;
  8617; I180000072;03024;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230129.;   11707 ;MCO24230129 ;    0  ;
  8618; I180000072;03025;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230130.;   11707 ;MCO24230130 ;    0  ;
  8619; I180000072;03026;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230124.;   11708 ;MCO24230124 ;    0  ;
  8620; I180000072;03027;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230123.;   11708 ;MCO24230123 ;    0  ;
  8621; I180000072;03028;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO2423002.;   11708 ;MCO2423002  ;    0  ;
  8622; I180000072;03029;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230126.;   11708 ;MCO24230126 ;    0  ;
  8623; I180000072;03030;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230131.;   11922 ;MCO24230131 ;    0  ;
  8624; I180000072;03031;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230125.;   11922 ;MCO24230125 ;    0  ;
  8625; I180000072;03032;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530372.;   11922 ;MCO24530372 ;    0  ;
  8626; I180000072;03033;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24530377.;   11922 ;MCO24530377 ;    0  ;
  8627; I180000072;03034;02 ;A COLOR DE 17" MARCA SUN, MODELO SUN RAY 100 (CLIENTE DELGADO), NUMERO DE SERIE: MCO24230207.;   11922 ;MCO24230207 ;    0  ;
