  CveAct;Catalogo  ;No Inv ;Año ;Descripción                                   ;    CveAds; NumSerie    ; CveBaja
  15995; I180000004;00115;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005931.;   00000 ;02007H6F005931;   10  ;
  4606; I180000004;00116;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005901;   00000 ;02007H6F005901;   10  ;
  15996; I180000004;00116;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB,CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005901.;   00000 ;02007H6F005901;   10  ;
  4607; I180000004;00117;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F006038;   00000 ;02007H6F006038;   10  ;
  15997; I180000004;00117;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F006038.;   00000 ;02007H6F006038;   10  ;
  4608; I180000004;00118;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005669;   00000 ;02007H6F005669;   10  ;
  15998; I180000004;00118;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005669.;   00000 ;02007H6F005669;   10  ;
  4609; I180000004;00119;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005944;   00000 ;02007H6F005944;   10  ;
  15999; I180000004;00119;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005944.;   00000 ;02007H6F005944;   10  ;
  4610; I180000004;00120;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F005955;   00000 ;02007H6F005955;   10  ;
  16000; I180000004;00120;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F005955.;   00000 ;02007H6F005955;   10  ;
  4611; I180000004;00121;00 ;PARA COORDINACIONES DE ZONA MARCA 3 COM MODELO: OFFICE CONNECT HUB CON 8 PUERTOS NUMERO DE SERIE: 02007H6F006018;   00000 ;02007H6F006018;   10  ;
  16001; I180000004;00121;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: 02007H6F006018.;   00000 ;02007H6F006018;   10  ;
  16002; I180000004;00432;00 ;PARA COORDINACIONES DE ZONA, MARCA 3 COMM, MODELO OFFICE CONNECT HUB, CON 8 PUERTOS, NUMERO DE SERIE: KTKS0159C8.;   00000 ;KTKS0159C8  ;   10  ;
